疾病分類,疾病名稱,症狀,併發症,危險族群,科別,部位
癌症腫瘤,腦瘤,"頭痛,癲癇,抽搐,頭暈,噁心,嘔吐,視力模糊,肌肉協調感減退,平衡感變差,感覺異常,失語症,性格改變,神智不清,語言障礙,記憶力衰退","認知功能障礙,內分泌失調,腦水腫,神經功能減損,腦出血","3-12歲兒童,40-70歲成人,從事某些特定工作的人，例如頻繁接觸化學藥劑之從業人員、防腐劑處理人員、藥廠員工、加油站員工等,長期暴露於放射線環境中者",神經外科,腦部
癌症腫瘤,肺腺癌,"咳嗽,咳血,厭食,呼吸困難,肋膜積水,聲音嘶啞,吞嚥困難,上腔靜脈症候群,疼痛及無力感","頭痛,嘔吐,意識不清,骨頭疼痛,眼睛或皮膚變黃,頸部出現腫塊","有吸菸習慣者,長期接觸二手菸,長期接觸廚房油煙,帶有特定基因突變、有家族病史,本身就肺部疾病,工作環境中有化學物質汙染者，如金屬業、冶礦業等","血液腫瘤科,呼吸胸腔科,胸腔外科",肺
癌症腫瘤,甲狀腺癌,"頸部腫大,頸部硬塊,聲音沙啞,吞嚥困難,體重減輕,呼吸困難,胸部不適",癌細胞轉移（骨頭、肺臟、附近的氣管或食道等）,"20到40歲女性。,家族病史有甲狀腺癌者。","甲狀腺腫瘤,代謝內分泌科",甲狀腺
癌症腫瘤,皮膚癌,"皮膚不明腫塊,痣變大,痣變色,傷口久不癒合",癌細胞轉移（黑色素細胞癌可轉移到其他部位皮膚、皮下組織、淋巴結；最常轉移的器官是肺臟、肝臟、腦部、骨骼、腸道）。,"白色人種（美國白色人種比非裔深膚色人種得病率約10倍之多）。,患有慢性皮膚疾病之病患。,因工作需要必須長期接觸放射性物質、煤焦油、瀝青之工作者。,長期工作在陽光下的農民、漁民、野外工作者。,家族病史有皮膚癌者。","血液腫瘤科,皮膚科",皮膚
癌症腫瘤,淋巴癌,"淋巴腺腫大,貧血,發燒,出汗,體重減輕,皮膚瘙癢,疲倦,咳嗽",癌細胞轉移（淋巴結、淋巴區域、橫膈膜的上側或下側、骨頭、骨髓、皮膚、肝臟、脾臟及肺臟）,"免疫低下的患者，例如接受器官移植、愛滋病患者、自體免疫疾病病患等，皆是好發淋巴癌的高危險群。,暴露於有機溶劑、染料或輻射物質環境者，也較一般人容易得到淋巴癌。,乾燥症患者發病機率，較常人多7倍。",血液腫瘤科,淋巴系統
癌症腫瘤,癌因性疲憊症（癌疲憊）,"感到與近期活動程度不成比例的明顯疲累、缺少活力或需要增加休息,全身虛弱、沉重,難以集中精神、注意力,習慣做的事變顯得乏味,不少睡、睡不好、難早起、睡太多,睡醒依舊感覺疲累，精神未恢復,任何事都必須經過一番掙扎、勉強自己去做,因為疲累而感到悲傷、失意煩躁,因為疲累，做事容易放棄,記性變差,做了費力的事，會持續感到病懨懨、不舒服","焦慮和憂鬱：癌疲憊常常讓病患「失志」，結果是焦慮、憂鬱和失能同時存在，相互加重病人的情緒負擔；而治療的藥物，有可能會更增加疲憊感。,貧血：貧血會導致疲憊，而癌疲憊可能導致營養攝取不足，或因造血細胞受癌症/癌症治療影響，更惡化貧血情況，進一步加重癌疲憊感。,睡眠障礙：癌疲憊可能導致睡眠質量下降，形成惡性循環，使病人感到白天更加疲憊，夜晚睡眠質量更差。,生理、情緒和認知影響：除了身體上的疲勞外，癌疲憊還可能影響病人的情緒、認知能力和行為表現，降低生活品質和自信心，對家庭和人際關係造成負面影響。",null,null,null
癌症腫瘤,血癌（白血病）,"貧血,皮膚點狀出血,皮膚青腫,發燒,淋巴結腫大,骨頭疼痛,關節痛,牙齦腫脹,肝脾腫大,頭痛,嘔吐,心包膜積水,肋膜腔積水,心臟衰竭,呼吸困難,心跳加快,有倦怠感,體重減輕,帶狀皰疹,肺炎","癌細胞轉移（淋巴結、脾藏、肝藏、中樞神經系統）,腦出血昏迷,腸胃道大出血休克,敗血症,心肺衰竭","家族病史有血癌者。,長期接觸有機苯的工人。,曾接受過放射治療或化學治療的病人。,急性淋巴球性白血病好發於10歲以下兒童、急性骨髓性白血病好發於成年人，約75％新診斷病人大於60歲、慢性淋巴球性白血病好發於50歲以上中老年人。",血液腫瘤科,血液
癌症腫瘤,胰臟癌,"右上腹脹痛,背痛,食慾不振,噁心,嘔吐,腹瀉,便秘,疲倦,黃疸,體重減輕,皮膚搔癢,灰白色糞便,茶色尿液","癌細胞轉移（肝門區、十二指腸、小腸、大腸、胃、橫結腸、腹膜腔、脾臟、膽管、肝臟、肺臟、淋巴結）,慢性胰臟炎,糖尿病","60歲以上男性。,家族病史有胰腺癌者。,吸菸者。,肥胖者。,糖尿病患者。,長年接觸化學藥品者。","血液腫瘤科,胃腸肝膽科",胰
癌症腫瘤,鼻咽癌,"頭頸部腫大,單側耳塞,持續性耳鳴,聽力障礙,單側鼻塞或鼻涕增多,頭痛,口鼻不明原因滲血,鼻腔蓄膿,眼球內斜,複視,視力模糊,臉部知覺麻痺",癌細胞轉移（肝臟、肺臟、骨頭等）,"40歲以上的男性。,有鼻竇炎病史者。","血液腫瘤科,耳鼻喉科",鼻
癌症腫瘤,子宮內膜癌,"停經後出血,異常子宮出血,腹部疼痛,月經不規則,子宮積膿,貧血",癌細胞轉移（卵巢、直腸、膀胱、肺臟、肝臟、腦部等）,"不孕症或停經後的婦女。,初經較早或停經較晚的女性。,從未生育過或月經不規則的女性。,家族病史有子宮內膜癌、乳癌、大腸直腸癌及卵巢癌的女性，罹患子宮內膜癌的機率也會愈高。,糖尿病、高血壓患者。","血液腫瘤科,婦產科",子宮
癌症腫瘤,急性骨髓性白血病（AML）,"疲倦,沒胃口,體重減輕,發燒,呼吸急促,容易出血,類感冒","敗血症,敗血性休克,貧血,胸骨壓痛,牙齦腫脹,器官出血,腫瘤溶解症候群","以65歲以上的長者及40-50歲中壯族群為主，隨著老化，患者逐年增加。,男性居多,吸菸者,曾經接受化學治療、放射線治療者,有接觸原子彈輻射或苯類化學物質者,患有血液疾病者",血液腫瘤科,全身
癌症腫瘤,膀胱癌,"無痛血尿,頻尿,排尿困難,膀胱炎,尿路感染,膀胱出口阻塞,腎絞痛,體重減輕,腹痛,骨頭痛,貧血","癌細胞轉移（腹腔、淋巴結、骨骼、肺臟等器官）,腎衰竭","50歲到70歲的中老年男性。,家族病史有膀胱癌者。,美髮從業人員及經常染髮者。","血液腫瘤科,泌尿科",膀胱
癌症腫瘤,骨肉瘤,"摸到腫塊,疼痛,夜間疼痛,痠痛",null,"10-25歲青少年,50歲以上年長者",骨科,四肢
癌症腫瘤,黑色素瘤,"痣變大,痣變色",癌細胞轉移（黑色素細胞癌可轉移到其他部位皮膚、皮下組織、淋巴結，最常轉移的器官是肺臟、肝臟、腦部、骨骼、腸道）,50歲以上之中老年人。,"血液腫瘤科,皮膚科,一般外科","皮膚,指甲,黏膜"
癌症腫瘤,兒童顱咽管瘤,"視力衰退,視野缺損,視神經萎縮,失明,生長發育遲緩,長不高,肥胖,性遲熟,性早熟,尿崩,嘔吐,視乳頭水腫,大頭（嬰幼兒）,頭痛","中樞性高熱,意識障礙,尿崩症,循環衰竭,癲癇,消化道出血,無菌性腦膜炎,視力障礙,腦下垂體功能低下",null,兒童神經外科、腦神經外科、腫瘤科,蝶鞍上及腦下垂體附近
癌症腫瘤,多發性骨髓瘤,"骨折,骨痛,四肢無力,體重減輕,噁心,嘔吐,倦怠,神智異常,便祕,排尿困難,四肢麻木,少尿,泡沫尿,發燒感染","腎衰竭,尿毒症,高鈣血症,神經病變,貧血,高尿酸血症,免疫功能下降","70-75歲之年長者,男性患病機率大於女性",血液腫瘤科,骨髓、骨頭
癌症腫瘤,膽囊癌,"右上腹脹痛,食慾不振,噁心,嘔吐,黃疸,高燒、右上腹腫塊,腹水",癌細胞轉移（肺臟、骨骼、遠處淋巴結）,"50歲以上的女性為好發族群，約為男性的2-6倍。,患有「膽結石」者。膽囊癌病人約70-90％有膽結石，反言之，有膽結石者約1-3％會發生膽囊癌。","血液腫瘤科,胃腸肝膽科",膽
癌症腫瘤,嗜鉻細胞瘤,"高血壓,心悸,氣短,胸悶,頭痛,面色蒼白,大量出汗,視力模糊,皮膚潮紅,噁心,嘔吐,體溫升高,血糖升高,便秘,四肢震顫,心絞痛,焦慮,瞳孔散大","腦溢血,肺水腫,高血壓,心臟衰竭,多重器官系統衰竭,腦病變,易轉移到肺、腦及骨頭",20～50歲之成年人。,血液腫瘤科,腎上腺
癌症腫瘤,扁桃腺癌,"單側脖子腫大,單側喉嚨疼痛,吃東西感到無味,單側耳朵疼痛,單側耳鳴,吞嚥困難,張口困難,吞嚥時異物感、頸部腫脹疼痛、口腔潰瘍,扁桃腺腫脹",惡性腫瘤淋巴腺轉移,"菸、酒、檳榔接觸史,有不安全的性生活、得過人類乳突病毒感染者,男性發病機率大於女性",耳鼻喉科、血液腫瘤科,頭頸部扁桃腺
癌症腫瘤,急性淋巴性白血病,"貧血,發燒,出血傾向,不明原因的體重減輕,淋巴腺或脾臟腫大,骨頭疼痛,腿骨及胸骨疼痛","癌細胞復發,癌細胞轉移,泛血球貧血症,敗血症,嚴重出血","具先天性疾病，如唐氏症、先天性免疫不全、先天性再生不良性貧血。,接觸化學物或放射線者，如病患、相關工作人士。",小兒或成人血液腫瘤科,骨髓
心血管,高血壓,"頭重,暈眩,頭痛,流鼻血,耳鳴,眼花,失眠,心悸,疲累,肩膀痠痛,無精打采,噁心,嘔吐,抽搐,昏迷","視網膜病變,腦血管硬化,腦中風,暫時性腦缺血,心臟病,主動脈剝離,動脈硬化,狹心症,心肌梗塞,心臟肥大,心臟衰竭,腎血管硬化,腎臟衰竭,尿毒症,猝死","父母其中一方具有高血壓病史者，受遺傳而發病的機率極高。,體質對鈉較敏感，或交感神經較敏感的人。,體重嚴重超重者，尤指BMI（身體質量指數）大於三十的人。,個性過於急躁、完美主義、不服輸等內心壓力大的人。,習慣吃外食或速食，攝取過多鹽分、味精的人。,本身患有打鼾、睡眠呼吸中止症候群的人。,作息不規律，經常熬夜的人。,經常抽菸或過度飲酒的人。,老年族群或血管嚴重老化的人。,50歲以前，發生率男性高於女性，50歲以後，女性高於男性，可能與女性更年期有關。",心臟內科,心臟、血管
心血管,低血壓,"易疲倦,全身乏力,昏沉嗜睡,暈眩,耳鳴,視力模糊,注意力不集中,四肢冰冷,冒冷汗,心悸,胸悶,食慾不振,貧血,腹鳴,便祕,下痢,腸積氣,腹部鼓脹,打嗝,意識不清,腳腫,昏厥,休克","失智症,阿茲海默症,慢性疲勞症候群,憂鬱症,心肌缺血,腦中風,心肌梗塞","家族中有低血壓病史的人。,體重過輕的年輕女性。,本身患有心臟機能不全或心血管方面疾病的人。,罹患某些特殊疾病的患者，如甲狀腺機能低下、艾狄遜氏症等，因疾病緣故引起血壓過低的症狀，也算低血壓的好發族群。,長期服用降血壓藥、鎮定劑、α阻斷劑等的人。,靜脈回流較差者，如長期臥床病患、缺乏運動及下肢循環不佳，都可能導致回流心臟的血液量不足，使血壓變低。,女性月經期間，若失血量較大，血壓也會較低。","心臟血管科,家醫科","心臟,血管"
心血管,地中海貧血,"貧血,虛弱,腹部突出,發育遲緩,肝脾腫大,黃疸,骨骼變形,蒼白,頭暈,疲倦,胎兒水腫,運動耐受力降低","膽結石,脾臟腫大,B型肝炎,C型 肝炎,D型肝炎,愛滋病,心臟衰竭,心律不整,糖尿病,甲狀腺機能低下,骨骼變形,內分泌失調,肝硬化","居住於地中海沿岸、中東、印度、中國大陸長江以南、東南亞和台灣等地區的居民。,美國好發於黑人族群，台灣則以客家族群的盛行率較高。,男女雙方為同型地中海貧血帶因者，胎兒有四分之一會成為重度患者。","血液腫瘤科,小兒科,家醫科",血液
心血管,心包膜炎,"胸痛,胸悶,乾咳,倦怠,全身虛弱無力,腿部腫脹,低燒,心悸,躺下時會喘,腹部腫脹","心包膜積水,縮窄性心包膜炎與心包填塞","所有年齡層都可能出現心包膜炎，但16歲到65歲男性出現心包膜炎的機率比較高。,過去罹患心包膜炎，且治癒族群當中，約30%可能重複感染，再一次出現心包膜炎。",心臟內科、心臟血管內科,心臟心包膜組織
心血管,心肌炎,"發燒,咳嗽,喉嚨痛,嘔吐,腹瀉,肌肉痠痛,疲倦乏力,臉色蒼白,心悸,胸悶,胸痛,心搏過速或過緩,心律不整,休克,呼吸困難,昏厥,頭痛,疲累,下肢腫脹,關節疼痛,焦躁不安,食慾不振,心搏過速及發紺,腹痛,水腫","心律不整,心臟衰竭,心肌梗塞,中風,心因性猝死","自體免疫疾病患者：有類風濕性關節炎或全身性紅斑狼瘡等自體免疫疾病者，罹患機率高。,18歲以下青少年或幼童，包括抵抗力較弱的嬰幼兒。年輕人發生心肌炎的機率比中年或老年人高，男性又高於女性。,平常使用免疫藥物者，如癌症、紅斑性狼瘡、類風溼性關節炎患者，還有後天免疫缺乏症候群患者。,慢性病患，如糖尿病、末期腎臟疾病患者。,皮膚反覆受創和癒合者，例如燒燙傷患者。",心臟內科,心臟
心血管,龐貝氏症,"四肢活動力差,頭部控制力差,心臟肥大,肝臟腫大,舌頭肥大,呼吸困難,呼吸系統受損,逐漸肌肉無力,行動時感到疲憊,心臟受損,呼吸短促,睡眠中呼吸暫停症候群,嗜睡,早晨性頭痛",─,罹病關鍵來自父母的基因。若父母雙方都是帶因者，生下的子女有25%的機率罹患龐貝氏症。,"需要跨科醫療含(小兒與成人)：,遺傳科,神經科,心臟科,胸腔科,胃腸肝膽科,骨科,復健科,耳鼻喉科",肌肉，不同部位的肌肉功能會因為疾病而逐漸退化。
心血管,肺栓塞,"肋膜性胸痛,呼吸困難,呼吸短促,水腫,發紺,心搏過快,咳嗽,咳血,發燒,昏厥,暈昡,頸靜脈怒張","右心衰竭,呼吸衰竭,中風,洗腎,截肢,氣切,缺氧,休克,猝死","60歲以上的老年族群。,長時間使用電腦、長期臥床或搭乘飛機、汽車或火車者進行長途旅行者。,高血脂、糖尿病、肥胖或血脂異常等動脈硬化高風險者。,患有惡性腫瘤者，因分泌的物質可能會刺激血液凝固。,患有靜脈曲張、心肌梗塞或心臟功能不全者。,孕產婦、服用口服避孕藥、長期使用女性荷爾蒙和菸癮者。,先天性凝血過當或缺乏某種抗凝血因子等血液疾病患者。,曾有血栓病史或下肢接受開刀手術者。","心臟血管科,呼吸胸腔科",肺臟
心血管,主動脈剝離,"血壓飆升,劇烈胸痛,背痛,嘔吐,冒汗,頭重腳輕",null,"高血壓患者,家族病史者,馬凡氏症患者",心臟內科,心臟
心血管,川崎病（川崎氏病）,"發燒,紅眼,嘴唇乾裂,舌頭紅腫,草莓舌,喉嚨發炎,喉嚨紅腫,四肢末稍浮腫(疾病早期),四肢末稍脫皮(疾病後期),頸部淋巴結腫大,皮膚紅疹","冠狀動脈炎,冠狀動脈瘤,冠狀動脈瘤破裂,心肌炎,心包膜炎,心律不整,心肌梗塞,心臟衰竭,死亡","5歲以下幼童，平均年齡為2歲，又男童的發病率高於女童。,亞洲人發生率較高，日本發生率居全球第1，台灣第3。,罹患川崎病的孩童，其兄弟姊妹的罹病風險也較一般人高。,父母有川崎病病史，孩子罹患川崎病的風險也較高。","小兒科,小兒感染科,小兒心臟科","皮膚,粘膜,淋巴"
心血管,先天性心臟病,"易流手汗,焦慮,緊張,頭痛,臉色蒼白,呼吸困難,呼吸急促,嘴唇發紫,四肢發紺,四肢浮腫,心悸,心跳快,心臟雜音,發育遲緩,體力差,易疲倦,胸痛,暈厥","支氣管炎,肺炎,肺動脈高壓,感染性心內膜炎,心臟衰竭,猝死","懷孕前三個月母體曾受病毒與細菌感染，如德國麻疹、腸病毒等，或曾暴露在放射線下、服用特殊藥物、酗酒等，導致胎兒心臟發育受阻而發生畸形。,特殊孩童如早產兒、唐氏症兒等，因為染色體異常，多半容易合併先天性心臟病。,孕婦本身為紅斑性狼瘡、苯酮尿症或糖尿病患者，生出先天性心臟病兒的機率很高。,母親於懷孕期間營養不足，導致胎兒發育未全，罹患先天性心臟病的機率也高。,有先天性心臟病病史的人，下一代發生先天性心臟病的可能性也較高。","心臟血管科,小兒科",心臟
心血管,馬凡氏症候群,"骨骼系統：蜘蛛只、關節鬆弛、胸廓異常、脊柱側彎或前彎、扁平足、髖關節突出等,心臟系統：主動脈瘤、二尖瓣／三尖瓣脫落等,眼睛：水晶體脫位、高度近視等,其他：皮膚鬆弛、腰椎部位的硬腦膜膨大等","動脈瘤,主動脈剝離,猝死,鬱血性心臟衰竭,肺高壓,視網膜剝離,青光眼,早發性白內障",雙親有馬凡氏症病史者，但也有25%的病人是自發性突變導致,馬凡氏症整合門診、心臟內／外科、眼科、骨科、復健科,全身
心血管,瓣膜性心臟病,"心絞痛,腹脹,頭暈,呼吸急促,疲勞,四肢水腫,肺水腫,胸痛,食慾減退,運動時氣促,肝腫大,昏厥,心臟雜音","心肌肥厚,心臟衰竭,心律不整,中風","風濕性心臟病：常發於女性,退化性心臟瓣膜疾病：好發於老年人",心臟外科、心臟內科,心臟
心血管,心房顫動,"心悸,無力,容易疲憊,頭暈,胸悶或喘不過氣","缺血性中風,周邊血栓,心肌梗塞,心臟衰竭,失智","年齡大於65歲,男性多於女性,患有心臟病、高血壓、肺部疾病、甲狀腺疾病、代謝相關疾病者,有菸酒習慣者,生活極度緊張或疲勞,家族遺傳",心臟內科,心臟
心血管,缺血性腦中風,"單側肢體無力,單側肢體偏癱,頭痛,暈昡,失語,視力模糊,視野缺損,意識障礙,運動感覺障礙,心悸,抽搐,噁心嘔吐,倦怠,流口水,吞嚥困難,言語不清,嘴歪眼斜,大小便失禁","腸胃潰爛出血,肺炎,尿道感染,電解質不平衡,壓瘡,營養不良,肢體僵硬,肢體攣縮,便秘,腹瀉,小便困難,死亡,腦水腫,半身不遂","65歲以上老年族群，又男性發生率高於女性。,有腦中風、暫時性腦缺血、高血壓病史者。,有缺血性腦中風、高血壓家族病史者。,長期吸菸者。因尼古丁會增加心臟負荷和加速血管硬化，提高中風的發生率。,飲食方面好攝取高油、高鹽、高熱量食物者。,肥胖、缺乏運動習慣者者。","神經科,呼吸胸腔科,心臟血管科,復健科","腦,血管"
心血管,出血性腦中風,"單側肢體麻木無力,嘴歪眼斜,劇烈頭痛,眩暈,噁心嘔吐,意識不清,昏迷,言語不清,失語,吞嚥困難,流口水,走路不穩,運動失調,複視,視力模糊,視野缺損,抽搐","肺部感染,泌尿道感染,胃潰瘍,消化道出血,褥瘡,肢體僵硬變形,憂鬱,跌倒骨折,營養不良,下肢深部靜脈栓塞,大小便失禁,便秘,半身不遂,語言障礙,腦水腫,血管痙攣","45歲以上中老年族群，且男性多於女性。,長期抽菸、酗酒、身體勞累及情緒激動者。,患有高血壓、高血脂、心臟病等心血管疾病患者。,膽固醇、三酸甘油酯、 尿酸及血糖值偏高者。,習慣吃高油脂、高膽固醇食物、甜食及含糖飲料者。","神經科,心臟血管科,復健科","腦,血管"
心血管,心肌梗塞,"持續性胸痛,胸悶,盜汗,臉色蒼白,四肢冰冷,噁心,嘔吐,全身虛弱無力,暈眩,呼吸困難,休克","心律不整,心因性休克,肺水腫,心臟衰竭,心包膜積水,心臟破裂,心室壁瘤,二尖瓣脫垂,低血壓,猝死","隨年齡增長而提高。男性大於45歲，女性大於55歲，又男性發生率高於女性。,患有高血壓、糖尿病、高血脂等疾病者。尤其糖尿病患常合併有三高，加上多重代謝異常，壞膽固醇容易囤積在血管內，造成大規模阻塞病變。,情緒容易緊張、易怒、憂慮和恐慌者。,過度勞累、生活壓力大者。,缺乏規律運動習慣者。,膽固醇、血脂肪及三酸甘油脂數值過高者。,菸癮者，因抽煙會加速粥狀動脈硬化。,冠狀動脈心臟病患者，或有冠狀動脈心臟病家族史者。患者因動脈硬化血管腔狹窄，很容易造成阻塞。","心臟血管科,呼吸胸腔科",心臟
心血管,心臟衰竭,"手腳冰冷,疲倦,、胸痛,腎功能惡化,行為改變,呼吸困難,水腫,咳嗽,腦部缺氧,小便量減少,體重暴增,肝腫大","中風,肺積水,多重器官衰竭","肥胖者,高血壓患者,糖尿病患者,心臟疾病患者",內科、心臟內科,心臟
心血管,高血脂,"血濁,黃色瘤,黃斑瘤,頭暈,目眩,胸悶,嗜睡,心悸,頭痛,氣短,乏力,手腳麻木","高血壓,糖尿病,甲狀腺機能低下,腦血管疾病,腦中風,動脈硬化,動脈瘤,冠狀動脈心臟病,心絞痛,心肌梗塞,急性胰臟炎,急性膽囊炎,腎臟病,尿毒症,四肢末稍壞死症,猝死","四十歲以上、體重過重者。,家族中已有高血脂病史、先天性基因缺陷的人。,飲食習慣方面，經常攝取過多高膽固醇或高糖分的人，例如肉食主義者、愛吃肥肉、高油脂、炸物、動物內臟、蛋黃、奶製品、有殼海鮮及精緻甜點等食品。,長期過量飲酒與吸菸的人。,經常光顧吃到飽餐廳，導致總熱量攝取過多的人。,長期缺乏運動者。,長期生活緊張、工作壓力過大的人。","代謝內分泌科,心臟血管科,家醫科",血液
心血管,二尖瓣脫垂,"呼吸不順暢,非典型心絞痛,胸悶胸痛,心悸,心律不整,緊張焦慮,疲倦,自律神經失調,暈眩,昏厥",null,"好發於20～40歲女性，但男性也可能患有此病。,常見於身材纖瘦高挑、體重較輕、背部較直、胸廓扁平的族群，像模特兒就是高危險族群。,患者通常會有偏低的血壓，有時會有心電圖異常；部分患者有家族遺傳史。",心臟內科,心臟
心血管,猝死,"全身倦怠,氣促,胸悶,心悸,心絞痛,頭暈,昏倒,休克,心跳驟停,呼吸停止,無脈搏,無血壓,無意識,瞳孔放大",null,"家族中曾有猝死病史的人。,四十五歲以上的中老年人。,患有心血管疾病，如高血壓、高血脂、主動脈瓣狹窄、心肌病變、心室頻脈、心臟收縮功能不佳之患者。另外，糖尿病也很容易造成動脈硬化、提高冠狀動脈心臟病發生風險，進而引起猝死。,曾發生過中風或心肌梗塞的人。,長期菸酒過量的人。,經常性熬夜，長期讓身心過度疲勞的人。,運動過量且過於激烈的人。,飲食不規律，暴飲暴食者。,感冒許久未好的人，容易因心肌炎導致猝死。,藥物濫用者，如吸食毒品、亂服用減肥藥、藥品過量，都容易引發猝死。,一歲以下的嬰兒，尤指暴露在危險因子之下，如：母親在懷孕期間抽菸、酗酒、服藥；妊娠期間未得到充分醫療照護；早產兒或低出生體重兒；新生兒長期處在二手菸環境下；習慣趴睡等。,曾有過猝死經驗被救活的患者，再發生猝死的機率極高。","心臟血管科,小兒科",心臟
